id	identifier_KR	identifier	species_id	height	weight	base_experience	order	is_default	max_cp	attack	defense	stamina	evolution	type0	type1	attack0	attack1	attack2	attack3	attack4	_id
1	____	bulbasaur	1	7	69	64	1	1	981	118	118	90	2	12	4	106	113	59	34	81	1
2	____	ivysaur	2	10	130	142	2	1	1552	151	151	120	3	12	4	107	106	59	79	81	2
3	____	venusaur	3	20	1000	236	3	1	2568	198	198	160	0	12	4	107	106	59	24	79	3
4	___	charmander	4	6	85	62	5	1	831	116	96	78	5	10	0	101	112	67	68	8	4
5	___	charmeleon	5	11	190	142	6	1	1484	158	129	116	6	10	0	101	112	78	68	8	5
6	___	charizard	6	17	905	240	7	1	2686	223	176	156	0	10	3	101	102	69	52	8	6
7	___	squirtle	7	5	90	63	10	1	808	94	122	88	8	11	0	128	113	32	33	71	7
8	____	wartortle	8	10	225	142	11	1	1324	126	155	118	9	11	0	122	94	32	19	73	8
9	___	blastoise	9	16	855	239	12	1	2291	171	210	158	0	11	0	122	94	17	19	73	9
10	___	caterpie	10	3	29	39	14	1	393	55	62	90	10	7	0	93	113	91			10
11	___	metapod	11	7	99	72	15	1	419	45	94	100	11	7	0	93	113	91			11
12	___	butterfree	12	11	320	173	16	1	1701	167	151	120	0	7	3	93	126	26	74	65	12
13	___	weedle	13	3	32	39	17	1	397	63	55	80	14	7	4	93	127	91			13
14	___	kakuna	14	6	100	72	18	1	392	46	86	90	15	7	4	93	127	91			14
15	___	beedrill	15	10	295	173	19	1	1777	169	150	130	0	7	4	93	116	59	22	66	15
16	__	pidgey	16	3	18	50	20	1	580	85	76	80	17	1	3	111	113	50	22	82	16
17	__	pidgeotto	17	11	300	122	21	1	1085	117	108	126	18	1	3	102	130	50	22	82	17
18	___	pidgeot	18	15	395	211	22	1	1994	166	157	166	0	1	3	102	130	83	22	82	18
19	__	rattata	19	3	35	51	23	1	588	103	70	60	20	1	0	113	111	9	88	89	19
20	___	raticate	20	7	185	145	24	1	1549	161	144	110	0	1	0	94	111	9	88	2	20
21	___	spearow	21	3	20	52	25	1	673	112	61	80	22	1	3	103	111	22	18	50	21
22	_____	fearow	22	12	380	155	26	1	1814	182	135	130	0	1	3	103	130	22	23	50	22
23	__	ekans	23	20	69	58	27	1	778	110	102	70	24	4	0	127	117	1	59	61	23
24	___	arbok	24	35	650	153	28	1	1737	167	158	120	0	4	0	94	117	3	60	61	24
25	___	pikachu	25	4	60	105	30	1	787	112	101	70	26	13	0	97	111	16	49	48	25
26	___	raichu	26	8	300	214	31	1	2025	193	165	120	0	13	0	97	98	84	47	48	26
27	____	sandshrew	27	6	120	60	32	1	1194	126	145	100	28	5	0	112	108	9	38	37	27
28	__	sandslash	28	10	295	158	33	1	2328	182	202	150	0	5	0	120	108	12	37	63	28
29	____	nidoran-f	29	4	70	55	34	1	736	86	94	110	30	4	0	94	127	27	89	59	29
30	____	nidorina	30	8	200	128	35	1	1218	117	126	140	31	4	0	94	127	27	9	59	30
31	___	nidoqueen	31	13	600	223	36	1	2338	180	174	180	0	4	5	116	94	12	60	13	31
32	____	nidoran-m	32	5	90	55	37	1	739	105	76	92	33	4	0	103	127	86	89	59	32
33	____	nidorino	33	9	195	128	38	1	1252	137	112	122	34	4	0	116	127	86	9	59	33
34	___	nidoking	34	14	620	223	39	1	2386	204	157	162	0	4	5	116	92	12	60	7	34
35	__	clefairy	35	6	75	113	41	1	1085	107	116	140	36	18	0	114	125	53	89	56	35
36	__	clefable	36	13	400	213	42	1	2353	178	171	190	0	18	0	114	125	55	74	56	36
37	____	vulpix	37	6	99	60	43	1	774	96	122	76	38	10	0	111	101	89	8	67	37
38	____	ninetales	38	11	199	177	44	1	2157	169	204	146	0	10	0	129	101	21	8	69	38
39	__	jigglypuff	39	5	55	95	46	1	713	80	44	230	40	1	18	114	129	53	55	89	39
40	___	wigglytuff	40	10	120	191	47	1	1906	156	93	280	0	1	18	114	129	55	2	57	40
41	__	zubat	41	8	75	49	48	1	569	83	76	80	42	4	3	111	94	27	82	59	41
42	__	golbat	42	16	550	159	49	1	1830	161	153	150	169	4	3	102	94	27	82	42	42
43	___	oddish	43	5	54	64	51	1	1069	131	116	90	44	12	4	107	117	34	59	56	43
44	___	gloom	44	8	86	138	52	1	1512	153	139	120	45	12	4	107	117	24	59	56	44
45	_____	vileplume	45	12	186	216	53	1	2367	202	170	150	0	12	4	107	117	24	79	56	45
46	___	paras	46	3	54	57	55	1	836	121	99	70	47	7	12	112	93	58	66	34	46
47	____	parasect	47	10	295	142	56	1	1657	165	146	120	0	7	12	93	92	58	66	79	47
48	__	venonat	48	10	300	61	57	1	902	100	102	120	49	7	4	93	126	27	11	65	48
49	___	venomoth	49	15	125	158	58	1	1937	179	150	140	0	7	4	93	126	27	74	26	49
50	___	diglett	50	2	8	53	59	1	465	109	88	20	51	5	0	108	112	124	9	64	50
51	____	dugtrio	51	7	333	142	60	1	1333	167	147	70	0	5	0	95	108	12	64	13	51
52	__	meowth	52	4	42	58	61	1	638	92	81	80	53	1	0	112	94	28	3	89	52
53	____	persian	53	10	320	154	62	1	1539	150	139	130	0	1	0	112	129	28	39	57	53
54	____	psyduck	54	8	196	64	63	1	966	122	96	100	55	11	0	122	125	11	33	10	54
55	__	golduck	55	17	766	175	64	1	2270	191	163	160	0	11	0	122	126	74	73	19	55
56	__	mankey	56	5	280	61	65	1	1002	148	87	80	57	2	0	100	112	10	31	84	56
57	___	primeape	57	10	320	159	66	1	2105	207	144	130	0	2	0	99	100	10	31	28	57
58	__	growlithe	58	7	190	70	67	1	1110	136	96	110	59	10	0	101	94	6	89	8	58
59	__	arcanine	59	19	1550	194	68	1	2839	227	166	180	0	10	0	131	94	69	8	63	59
60	___	poliwag	60	6	124	60	69	1	695	101	82	80	61	11	0	128	108	29	64	89	60
61	____	poliwhirl	61	10	200	135	70	1	1313	130	130	130	62	11	0	128	108	72	64	29	61
62	___	poliwrath	62	13	540	225	71	1	2441	182	187	180	0	11	2	128	108	73	30	14	62
63	___	abra	63	9	195	62	73	1	1148	195	103	50	64	14	0	125	35	65	43		63
64	___	kadabra	64	13	565	140	74	1	1859	232	138	80	65	14	0	118	126	11	55	43	64
65	__	alakazam	65	15	480	221	75	1	2887	271	194	110	0	14	0	118	126	74	55	43	65
