id,identifier_KR,identifier,species_id,height,weight,base_experience,order,is_default,max_cp,attack,defense,stamina,evolution,type0,type1
1,이상해씨,bulbasaur,1,7,69,64,1,1,981,118,118,90,2,12,4
2,이상해풀,ivysaur,2,10,130,142,2,1,1552,151,151,120,3,12,4
3,이상해꽃,venusaur,3,20,1000,236,3,1,2568,198,198,160,0,12,4
4,파이리,charmander,4,6,85,62,5,1,831,116,96,78,5,10,0
5,리자드,charmeleon,5,11,190,142,6,1,1484,158,129,116,6,10,0
6,리자몽,charizard,6,17,905,240,7,1,2686,223,176,156,0,10,3
7,꼬부기,squirtle,7,5,90,63,10,1,808,94,122,88,8,11,0
8,어니부기,wartortle,8,10,225,142,11,1,1324,126,155,118,9,11,0
9,거북왕,blastoise,9,16,855,239,12,1,2291,171,210,158,0,11,0
10,캐터피,caterpie,10,3,29,39,14,1,393,55,62,90,10,7,0
11,단데기,metapod,11,7,99,72,15,1,419,45,94,100,11,7,0
12,버터플,butterfree,12,11,320,173,16,1,1701,167,151,120,0,7,3
13,뿔충이,weedle,13,3,32,39,17,1,397,63,55,80,14,7,4
14,딱충이,kakuna,14,6,100,72,18,1,392,46,86,90,15,7,4
15,독침붕,beedrill,15,10,295,173,19,1,1777,169,150,130,0,7,4
16,구구,pidgey,16,3,18,50,20,1,580,85,76,80,17,1,3
17,피죤,pidgeotto,17,11,300,122,21,1,1085,117,108,126,18,1,3
18,피죤투,pidgeot,18,15,395,211,22,1,1994,166,157,166,0,1,3
19,꼬렛,rattata,19,3,35,51,23,1,588,103,70,60,20,1,0
20,레트라,raticate,20,7,185,145,24,1,1549,161,144,110,0,1,0
21,깨비참,spearow,21,3,20,52,25,1,673,112,61,80,22,1,3
22,깨비드릴조,fearow,22,12,380,155,26,1,1814,182,135,130,0,1,3
23,아보,ekans,23,20,69,58,27,1,778,110,102,70,24,4,0
24,아보크,arbok,24,35,650,153,28,1,1737,167,158,120,0,4,0
25,피카츄,pikachu,25,4,60,105,30,1,787,112,101,70,26,13,0
26,라이츄,raichu,26,8,300,214,31,1,2025,193,165,120,0,13,0
27,모래두지,sandshrew,27,6,120,60,32,1,1194,126,145,100,28,5,0
28,고지,sandslash,28,10,295,158,33,1,2328,182,202,150,0,5,0
29,니드런♀,nidoran-f,29,4,70,55,34,1,736,86,94,110,30,4,0
30,니드리나,nidorina,30,8,200,128,35,1,1218,117,126,140,31,4,0
31,니드퀸,nidoqueen,31,13,600,223,36,1,2338,180,174,180,0,4,5
32,니드런♂,nidoran-m,32,5,90,55,37,1,739,105,76,92,33,4,0
33,니드리노,nidorino,33,9,195,128,38,1,1252,137,112,122,34,4,0
34,니드킹,nidoking,34,14,620,223,39,1,2386,204,157,162,0,4,5
35,삐삐,clefairy,35,6,75,113,41,1,1085,107,116,140,36,18,0
36,픽시,clefable,36,13,400,213,42,1,2353,178,171,190,0,18,0
37,식스테일,vulpix,37,6,99,60,43,1,774,96,122,76,38,10,0
38,나인테일,ninetales,38,11,199,177,44,1,2157,169,204,146,0,10,0
39,푸린,jigglypuff,39,5,55,95,46,1,713,80,44,230,40,1,18
40,푸크린,wigglytuff,40,10,120,191,47,1,1906,156,93,280,0,1,18
41,주뱃,zubat,41,8,75,49,48,1,569,83,76,80,42,4,3
