_id,_power,_energy,_damage_duration,_damage_start,_damage_end,_typePokemon,_accuracy,_critical,_typeAttack
1,25,5,4000,2800,3400,1,1,0.050000001,special
2,120,1,5000,4000,4800,1,1,0.050000001,special
3,45,3,3500,2300,3400,17,1,0.050000001,special
4,30,4,2600,1850,2350,4,1,0.050000001,special
5,25,5,2100,1850,2100,1,1,0.050000001,special
6,40,4,4600,2700,3200,10,1,0.050000001,special
7,80,1,3200,2400,2700,7,1,0.050000001,special
8,55,2,2900,1700,2600,10,1,0.050000001,special
9,70,3,5800,4600,5000,5,1,0.050000001,special
10,60,1,2000,1500,1800,2,1,0.25,special
11,40,4,3800,2300,3600,14,1,0.050000001,special
12,100,1,4200,2000,3950,5,1,0.050000001,special
13,80,1,3100,1400,1800,6,1,0.5,special
14,45,3,3500,2100,3200,15,1,0.050000001,special
15,25,4,2550,1950,2250,14,1,0.050000001,special
16,35,3,2500,1600,2300,13,1,0.050000001,special
17,60,3,3900,2400,3500,9,1,0.050000001,special
18,40,3,2700,1600,2500,3,1,0.050000001,special
19,65,2,3650,2150,3500,15,1,0.050000001,special
20,100,1,3900,3600,3600,15,1,0.050000001,special
21,80,1,3800,3000,3400,10,1,0.050000001,special
22,30,4,2900,2000,2600,3,1,0.050000001,special
23,50,3,3400,2100,2800,5,1,0.25,special
24,65,2,3200,2100,3100,12,1,0.050000001,special
25,25,5,3200,1400,2600,12,1,0.050000001,special
26,75,2,4250,2600,4100,7,1,0.050000001,special
27,25,5,2400,1650,1850,4,1,0.050000001,special
28,30,4,2700,2400,2600,17,1,0.25,special
29,30,4,2900,2600,2800,11,1,0.050000001,special
30,30,3,2100,1850,2000,2,1,0.050000001,special
31,30,4,2250,2000,2150,2,1,0.050000001,special
32,25,5,2350,1700,2100,11,1,0.050000001,special
33,45,2,2350,2050,2250,11,1,0.050000001,special
34,40,3,2400,1300,1800,12,1,0.050000001,special
35,40,3,2700,2200,2700,14,1,0.050000001,special
36,35,4,3600,2900,3250,6,1,0.050000001,special
37,30,4,3400,2300,3200,6,1,0.25,special
38,50,3,3200,1500,2900,6,1,0.050000001,special
39,40,3,2900,2000,2800,6,1,0.050000001,special
40,25,5,3100,2300,2900,8,1,0.050000001,special
41,25,4,2100,1400,1700,8,1,0.050000001,special
42,30,4,3100,1850,2100,8,1,0.050000001,special
43,45,3,3080,2300,2600,8,1,0.050000001,special
44,30,4,2800,1750,2300,9,1,0.050000001,special
45,30,3,2000,1550,1800,9,1,0.050000001,special
46,25,5,2100,1300,1700,13,1,0.050000001,special
47,40,3,2400,1950,2200,13,1,0.050000001,special
48,100,1,4300,2550,4100,13,1,0.050000001,special
49,55,2,2700,1900,2700,13,1,0.050000001,special
50,25,5,2700,850,2600,16,1,0.050000001,special
51,65,2,3600,2100,3300,16,1,0.050000001,special
52,35,2,1500,1200,1400,16,1,0.25,special
53,25,5,3900,1800,3600,18,1,0.050000001,special
54,25,5,2800,1000,1100,18,1,0.050000001,special
55,55,3,4200,3300,4100,18,1,0.050000001,special
56,85,1,4100,3500,4100,18,1,0.050000001,special
57,55,2,2900,1400,2700,18,1,0.050000001,special
58,25,4,1500,1200,1500,4,1,0.25,special
59,55,2,2600,1950,2450,4,1,0.050000001,special
60,70,1,3400,2400,3300,4,1,0.050000001,special
61,65,1,3000,2000,2400,4,1,0.050000001,special
62,25,4,1600,1250,1500,5,1,0.050000001,special
63,35,4,3400,1900,3000,5,1,0.050000001,special
64,30,4,2600,2050,2500,5,1,0.050000001,special
65,45,3,3100,2000,3000,7,1,0.050000001,special
66,35,3,2100,1350,1600,7,1,0.050000001,special
67,25,5,3100,2700,2900,10,1,0.050000001,special
68,30,4,2100,1200,1600,10,1,0.050000001,special
69,100,1,4100,3600,4000,10,1,0.050000001,special
70,25,4,2400,1650,2000,11,1,0.050000001,special
71,35,4,3300,1900,2900,11,1,0.050000001,special
72,55,3,4000,1800,3900,11,1,0.050000001,special
73,90,1,3800,1500,3600,11,1,0.050000001,special
74,55,2,2800,1600,2800,14,1,0.050000001,special
75,100,1,5100,4400,5300,14,1,0.050000001,special
76,25,5,3800,2000,2700,15,1,0.050000001,special
77,50,3,3600,350,1500,12,1,0.050000001,special
78,40,3,2800,1690,2200,10,1,0.050000001,special
79,120,1,4900,3100,4800,12,1,0.050000001,special
80,55,2,2800,1200,2200,12,1,0.25,special
81,70,1,2800,1500,2800,12,1,0,special
82,30,4,3300,2200,3100,3,1,0.25,special
83,80,1,3200,1030,2800,3,1,0.050000001,special
84,30,3,1600,1100,1500,2,1,0.25,special
85,30,4,3000,2300,2800,1,1,0.050000001,special
86,25,4,2200,1600,1900,1,1,0.050000001,special
87,30,4,2100,1200,1900,1,1,0.050000001,special
88,35,3,2100,1700,2000,1,1,0.050000001,special
89,40,2,1560,1100,1300,1,1,0.050000001,special
90,50,3,3100,1395,2691,1,1,0,special
91,15,5,1695,800,1500,1,1,0,special
92,3,16,400,200,400,7,1,0,basic
93,5,14,450,250,450,7,1,0,basic
94,6,14,500,300,500,17,1,0,basic
95,7,11,700,500,700,17,1,0,basic
96,6,14,500,300,500,16,1,0,basic
97,5,12,600,400,600,13,1,0,basic
98,7,12,700,500,700,13,1,0,basic
99,5,14,600,400,600,2,1,0,basic
100,6,12,800,600,800,2,1,0,basic
101,10,10,1050,850,1050,10,1,0,basic
102,9,14,750,550,750,3,1,0,basic
103,10,10,1150,950,1150,3,1,0,basic
104,5,16,500,300,500,8,1,0,basic
105,11,12,950,750,950,8,1,0,basic
106,7,14,650,450,650,12,1,0,basic
107,15,8,1450,1250,1450,12,1,0,basic
108,6,14,550,350,550,5,1,0,basic
109,15,8,1400,1200,1400,15,1,0,basic
110,9,14,810,610,810,15,1,0,basic
111,10,8,1330,1130,1330,1,1,0,basic
112,6,14,500,300,500,1,1,0,basic
113,12,10,1100,900,1100,1,1,0,basic
114,7,14,540,340,540,1,1,0,basic
115,12,10,1130,930,1130,1,1,0,basic
116,12,10,1050,850,1050,4,1,0,basic
117,10,10,1050,850,1050,4,1,0,basic
118,7,14,570,370,570,14,1,0,basic
119,12,6,1360,1160,1360,6,1,0,basic
120,8,14,630,430,630,9,1,0,basic
121,10,10,1200,1000,1200,9,1,0,basic
122,6,14,500,300,500,11,1,0,basic
123,0,10,1230,1030,1230,11,1,0,basic
124,15,8,1350,1150,1350,5,1,0,basic
125,12,11,1050,850,1050,14,1,0,basic
126,15,7,1510,1310,1510,14,1,0,basic
127,6,12,575,375,575,4,1,0,basic
128,25,4,2300,2100,2300,11,1,0,basic
129,12,10,1040,840,1040,17,1,0,basic
130,15,8,1330,1130,1330,9,1,0,basic
131,10,12,840,640,840,10,1,0,basic
132,15,8,1410,1210,1410,2,1,0,basic
