_id,__text
1,이상해씨 (Isanghessi)
2,이상해풀 (Isanghepul)
3,이상해꽃 (Isanghekkot)
4,파이리 (Fairit)
5,리자드 (Rizard)
6,리자몽 (Rizamon)
7,꼬부기 (Kkobugi)
8,어니부기 (Eonibugi)
9,거북왕 (Geobugwang)
10,캐터피 (Caterpie)
11,단데기 (Tandegi)
12,버터플 (Butterfle)
13,뿔충이 (Ppulchungi)
14,딱충이 (Ttakchungi)
15,독침붕 (Tokchimbung)
16,구구 (Gugu)
17,피죤 (Pijon)
18,피죤투 (Pijontoo)
19,꼬렛 (Koret)
20,레트라 (Retra)
21,깨비참 (Kebicham)
22,깨비드릴조 (Kebidrillzo)
23,아보 (Abo)
24,아보크 (Abok)
25,피카츄 (Pikachu)
26,라이츄 (Raichu)
27,모래두지 (Moreduji)
28,고지 (Koji)
29,니드런♀ (Nidoran♀)
30,니드리나 (Nidorina)
31,니드퀸 (Nidoqueen)
32,니드런♂ (Nidoran♂)
33,니드리노 (Nidorino)
34,니드킹 (Nidoking)
35,삐삐 (Ppippi)
36,픽시 (Pixy)
37,식스테일 (Sixtail)
38,나인테일 (Ninetail)
39,푸린 (Purin)
40,푸크린 (Pukurin)
41,주뱃 (Zubat)
42,골뱃 (Golbat)
43,뚜벅쵸 (Ttubeogcho)
44,냄새꼬 (Naemsaeko)
45,라플레시아 (Raplresia)
46,파라스 (Paras)
47,파라섹트 (Parasect)
48,콘팡 (Konpan)
49,도나리 (Donari)
50,디그다 (Digda)
51,닥트리오 (Daktrio)
52,나옹 (Naong)
53,페르시온 (Persion)
54,고라파덕 (Gorapaduck)
55,골덕 (Golduck)
56,망키 (Mankey)
57,성원숭 (Seongwonsung)
58,가디 (Gadi)
59,윈디 (Windi)
60,발챙이 (Balchengi)
61,수륙챙이 (Shuryukchengi)
62,강챙이 (Gangchaengi)
63,캐이시 (Keisi)
64,윤겔라 (Yunghelar)
65,후딘 (Fudin)
66,알통몬 (Altongmon)
67,근육몬 (Geunyukmon)
68,괴력몬 (Goeryeokmon)
69,모다피 (Modapi)
70,우츠동 (Uchudon)
71,우츠보트 (Uchubot)
72,왕눈해 (Wangnunhe)
73,독파리 (Tokpari)
74,꼬마돌 (Kkomadol)
75,데구리 (Deguri)
76,딱구리 (Ttakguri)
77,포니타 (Ponyta)
78,날쌩마 (Nalssengma)
79,야돈 (Yadon)
80,야도란 (Yadonran)
81,코일 (Koil)
82,레어코일 (Rarekoil)
83,파오리 (Paori)
84,두두 (Dudu)
85,두트리오 (Dutrio)
86,쥬쥬 (Juju)
87,쥬레곤 (Juregon)
88,질퍽이 (Jilpeogi)
89,질뻐기 (Jilppeogi)
90,셀러 (Sellor)
91,파르셀 (Parsell)
92,고오스 (Goohs)
93,고우스트 (Goust)
94,팬텀 (Penteom)
95,롱스톤 (Rongston)
96,슬리프 (Sllip)
97,슬리퍼 (Slliper)
98,크랩 (Kreb)
99,킹크랩 (Kingkreb)
100,찌리리공 (Zzililigong)
101,붐볼 (Boomball)
102,아라리 (Arari)
103,나시 (Nasi)
104,탕구리 (Tangguri)
105,텅구리 (Teongguri)
106,시라소몬 (Sirasomon)
107,홍수몬 (Hongsoomon)
108,내루미 (Nerumi)
109,또가스 (Ttogas)
110,또도가스 (Ttodogas)
111,뿔카노 (Ppulkano)
112,코뿌리 (Koppuri)
113,럭키 (Lucki)
114,덩구리 (Deongkuri)
115,캥카 (Kengka)
116,쏘드라 (Ssodra)
117,시드라 (Seadra)
118,콘치 (Konchi)
119,왕콘치 (Wangkonchi)
120,별가사리 (Byulgasari)
121,아쿠스타 (Akusta)
122,마임맨 (Maimman)
123,스라크 (Srak)
124,루주라 (Rujura)
125,에레브 (Elev)
126,마그마 (Magmar)
127,쁘사이저 (Ppeusaizeo)
128,켄타로스 (Kentaros)
129,잉어킹 (Ingeoking)
130,갸라도스 (Gyarados)
131,라프라스 (Lapras)
132,메타몽 (Metamong)
133,이브이 (Eevee)
134,샤미드 (Shamid)
135,쥬피썬더 (Jupithunder)
136,부스터 (Booster)
137,폴리곤 (Porygon)
138,암나이트 (Amnait)
139,암스타 (Amsta)
140,투구 (Toogu)
141,투구푸스 (Tooguphus)
142,프테라 (Ptera)
143,잠만보 (Jammanbo)
144,프리져 (Freeser)
145,썬더 (Sunder)
146,파이어 (Faier)
147,미뇽 (Minyong)
148,신뇽 (Sinnyong)
149,망나뇽 (Mangnanyong)
150,뮤츠 (Mewtwo)
151,뮤 (Mew)
152,치코리타 (Chikorita)
153,베이리프 (Bayleef)
154,메가니움 (Meganium)
155,브케인 (Beukein)
156,마그케인 (Mageukein)
157,블레이범 (Bleibeom)
158,리아코 (Liako)
159,엘리게이 (Elligei)
160,장크로다일 (Jangkrodail)
161,꼬리선 (Kkoriseon)
162,다꼬리 (Dakkori)
163,부우부 (Buubu)
164,야부엉 (Yabueong)
165,레디바 (Ledyba)
166,레디안 (Ledian)
167,페이검 (Peigeom)
168,아리아도스 (Ariados)
169,크로뱃 (Crobat)
170,초라기 (Choragi)
171,랜턴 (Lanturn)
172,피츄 (Pichu)
173,삐 (Ppi)
174,푸푸린 (Pupurin)
175,토게피 (Togepi)
176,토게틱 (Togetic)
177,네이티 (Neiti)
178,네이티오 (Neitio)
179,메리프 (Meleep)
180,보송송 (Bosongsong)
181,전룡 (Jeonryong)
182,아르코 (Areuko)
183,마릴 (Marill)
184,마릴리 (Marilly)
185,꼬지모 (Kkojimo)
186,왕구리 (Wangguri)
187,통통코 (Tongtongko)
188,두코 (Duko)
189,솜솜코 (Somsomko)
190,에이팜 (Eipam)
191,해너츠 (Haenuts)
192,해루미 (Haerumi)
193,왕자리 (Wangjari)
194,우파 (Woopa)
195,누오 (Nuo)
196,에브이 (Ebeui)
197,블래키 (Blacky)
198,니로우 (Nirou)
199,야도킹 (Yadoking)
200,무우마 (Muuma)
201,안농 (Annown)
202,마자용 (Mazayong)
203,키링키 (Kilingki)
204,피콘 (Pikon)
205,쏘콘 (Ssokon)
206,노고치 (Nogochi)
207,글라이거 (Glaiger)
208,강철톤 (Gangcheolton)
209,블루 (Bullu)
210,그랑블루 (Granbullu)
211,침바루 (Chimbaru)
212,핫삼 (Hatsam)
213,단단지 (Dandanji)
214,헤라크로스 (Heracross)
215,포푸니 (Popuni)
216,깜지곰 (Kkamjigom)
217,링곰 (Ringgom)
218,마그마그 (Magmag)
219,마그카르고 (Magcargo)
220,꾸꾸리 (Kkukkuri)
221,메꾸리 (Mekkuri)
222,코산호 (Kosanho)
223,총어 (Chongeo)
224,대포무노 (Daepomuno)
225,딜리버드 (Delibird)
226,만타인 (Mantine)
227,무장조 (Mujangjo)
228,델빌 (Delvil)
229,헬가 (Helga)
230,킹드라 (Kingdra)
231,코코리 (Kokori)
232,코리갑 (Korigap)
233,폴리곤2 (Porygon2)
234,노라키 (Noraki)
235,루브도 (Rubeudo)
236,배루키 (Baeruki)
237,카포에라 (Kapoera)
238,뽀뽀라 (Ppoppora)
239,에레키드 (Elekid)
240,마그비 (Magby)
241,밀탱크 (Miltank)
242,해피너스 (Happynus)
243,라이코 (Raikou)
244,앤테이 (Entei)
245,스이쿤 (Suicune)
246,애버라스 (Aebeoras)
247,데기라스 (Degiras)
248,마기라스 (Magiras)
249,루기아 (Rugia)
250,칠색조 (Chilsaeckjo)
251,세레비 (Celebi)
252,나무지기 (Namujigi)
253,나무돌이 (Namudori)
254,나무킹 (Namuking)
255,아차모 (Achamo)
256,영치코 (Youngchiko)
257,번치코 (Bunchiko)
258,물짱이 (Muljjangi)
259,늪짱이 (Nupjjangi)
260,대짱이 (Daejjangi)
261,포챠나 (Pochana)
262,그라에나 (Guraeana)
263,지그제구리 (Jigujaeguri)
264,직구리 (Jikguli)
265,개무소 (Gaemuso)
266,실쿤 (Silcoon)
267,뷰티플라이 (Beautifly)
268,카스쿤 (Cascoon)
269,독케일 (Dokkeil)
270,연꽃몬 (Yeonkkotmon)
271,로토스 (Rotosu)
272,로파파 (Ropapa)
273,도토링 (Dotoring)
274,잎새코 (Ipseko)
275,다탱구 (Datenggu)
276,테일로 (Tailow)
277,스왈로 (Swalow)
278,갈모매 (Galmomae)
279,패리퍼 (Pelipper)
280,랄토스 (Raltos)
281,킬리아 (Kirlia)
282,가디안 (Gadian)
283,비구술 (Bigusul)
284,비나방 (Binabang)
285,버섯꼬 (Bosotkko)
286,버섯모 (Bosotmo)
287,게을로 (Geulro)
288,발바로 (Balbaro)
289,게을킹 (Geulking)
290,토중몬 (Tojungmon)
291,아이스크 (Aisukeu)
292,껍질몬 (Kkubjilmon)
293,소곤룡 (Sogonryong)
294,노공룡 (Nogonryong)
295,폭음룡 (Pokumryong)
296,마크탕 (Makeutang)
297,하리뭉 (Harimung)
298,루리리 (Ruriri)
299,코코파스 (Kokopas)
300,에나비 (Enabi)
301,델케티 (Delcatty)
302,깜까미 (Kamkami)
303,입치트 (Ipchitt)
304,가보리 (Gabori)
305,갱도라 (Gaengdora)
306,보스로라 (Bosrora)
307,요가랑 (Yogarang)
308,요가램 (Yogaram)
309,썬더라이 (Thunderai)
310,썬더볼트 (Thundervolt)
311,플러시 (Plusy)
312,마이농 (Mainong)
313,볼비트 (Volbeat)
314,네오비트 (Neobeat)
315,로젤리아 (Rozelia)
316,꼴깍몬 (Kolkkakmon)
317,꿀꺽몬 (Koolkkokmon)
318,샤프니아 (Sharpnia)
319,샤크니아 (Sharknia)
320,고래왕자 (Goraewangja)
321,고래왕 (Goraewang)
322,둔타 (Doonta)
323,폭타 (Pokta)
324,코터스 (Kotas)
325,피그점프 (Pigjump)
326,피그킹 (Pigking)
327,얼루기 (Ollugi)
328,톱치 (Topchi)
329,비브라바 (Vibrava)
330,플라이곤 (Flygon)
331,선인왕 (Seoninwang)
332,밤선인 (Bamseonin)
333,파비코 (Pavico)
334,파비코리 (Pavicori)
335,쟝고 (Zanggo)
336,세비퍼 (Seviper)
337,루나톤 (Lunatone)
338,솔록 (Solrock)
339,미꾸리 (Mikuri)
340,메깅 (Meging)
341,가재군 (Gazegun)
342,가재장군 (Gazezanggun)
343,오뚝군 (Ohttukgun)
344,점토도리 (Zeumtodori)
345,릴링 (Lilring)
346,릴리요 (Lilriyo)
347,아노딥스 (Anodeeps)
348,아말도 (Amaldo)
349,빈티나 (Vintina)
350,밀로틱 (Milotic)
351,캐스퐁 (Castpong)
352,켈리몬 (Kelimon)
353,어둠대신 (Udumdaesin)
354,다크펫 (Darkpet)
355,해골몽 (Haegolmong)
356,미라몽 (Miramong)
357,트로피우스 (Tropius)
358,치렁 (Chirung)
359,앱솔 (Absol)
360,마자 (Maza)
361,눈꼬마 (Nunkoma)
362,얼음귀신 (Urumkisin)
363,대굴레오 (Degulleo)
364,씨레오 (Sealeo)
365,씨카이저 (Seakaiser)
366,진주몽 (Zinzumong)
367,헌테일 (Huntail)
368,분홍장이 (Bunhongzangi)
369,시라칸 (Searakan)
370,사랑동이 (Sarangdongi)
371,아공이 (Agongi)
372,쉘곤 (Shelgon)
373,보만다 (Bomanda)
374,메탕 (Metan)
375,메탕구 (Metangoo)
376,메타그로스 (Metagross)
377,레지락 (Regirock)
378,레지아이스 (Regice)
379,레지스틸 (Registeel)
380,라티아스 (Latias)
381,라티오스 (Latios)
382,가이오가 (Kyogre)
383,그란돈 (Groudon)
384,레쿠쟈 (Rayquaza)
385,지라치 (Jirachi)
386,테오키스 (Teoxys)
387,모부기 (Mobugi)
388,수풀부기 (Supulbugi)
389,토대부기 (Todaibugi)
390,불꽃숭이 (Bulkotsoongi)
391,파이숭이 (Paisoongi)
392,초염몽 (Choyeommong)
393,팽도리 (Pengdori)
394,팽태자 (Pengtaiza)
395,엠페르트 (Emperut)
396,찌르꼬 (Jjiruko)
397,찌르버드 (Jjirubird)
398,찌르호크 (Jjiruhawk)
399,비버니 (Bibeoni)
400,비버통 (Bibeotong)
401,귀뚤뚜기 (Gwittulttugi)
402,귀뚤톡크 (Gwittultock)
403,꼬링크 (Koringku)
404,럭시오 (Leoksio)
405,렌트라 (Renteura)
406,꼬몽울 (Komongul)
407,로즈레이드 (Rozureid)
408,두개도스 (Dugaedos)
409,램펄드 (Ramparld)
410,방패톱스 (Bangpaetops)
411,바리톱스 (Baritops)
412,도롱충이 (Dorongchungi)
413,도롱마담 (Dorongmadam)
414,나메일 (Nameil)
415,세꿀버리 (Sekkulbeori)
416,비퀸 (Beequein)
417,파치리스 (Pachirisu)
418,브이젤 (Buijel)
419,플로젤 (Pulrozel)
420,체리버 (Cheriber)
421,체리꼬 (Cheriko)
422,깝질무 (Kapjilmu)
423,트리토돈 (Tritodon)
424,겟핸보숭 (Gethainbosung)
425,흔들풍손 (Hundlpungson)
426,둥실라이드 (Dungsilraid)
427,이어롤 (Ieorol)
428,이어롭 (Ieorop)
429,무우마직 (Muumajik)
430,돈크로우 (Donkeurou)
431,나옹마 (Naongma)
432,몬냥이 (Monnyangi)
433,랑딸랑 (Rangttallang)
434,스컹뿡 (Skunbbung)
435,스컹탱크 (Skuntank)
436,동미러 (Dongmirror)
437,동탁군 (Dongtakgun)
438,꼬지지 (Kkojiji)
439,흉내내 (Hungnaenae)
440,핑복 (Pingbok)
441,페라페 (Perape)
442,화강돌 (Hwagangdol)
443,딥상어동 (Dipsangeodong)
444,한바이트 (Hanbite)
445,한카리아스 (Hankarias)
446,먹고자 (Moukgoja)
447,리오르 (Riolu)
448,루카리오 (Lucario)
449,히포포타스 (Hipopotaseu)
450,하마돈 (Hamadon)
451,스콜피 (Skorupi)
452,드래피온 (Drapion)
453,삐딱구리 (Pitakguri)
454,독개굴 (Dokgaegul)
455,무스틈니 (Museuteumni)
456,형광어 (Hyeonggwangeo)
457,네오라이트 (Neolite)
458,타만타 (Tamanta)
459,눈쓰개 (Nunsseugae)
460,눈설왕 (Nunseolwang)
461,포푸니라 (Popunira)
462,자포코일 (Zapokoil)
463,내룸벨트 (Naerumbelt)
464,거대코뿌리 (Geodaekopuri)
465,덩쿠림보 (Deongkurimbo)
466,에레키블 (Elekible)
467,마그마번 (Magmaburn)
468,토게키스 (Togekiss)
469,메가자리 (Megajari)
470,리피아 (Lipia)
471,글레이시아 (Geulleisia)
472,글라이온 (Glion)
473,맘모꾸리 (Mammokkuri)
474,폴리곤Z (PorygonZ)
475,엘레이드 (Ellade)
476,대코파스 (Daekopas)
477,야느와르몽 (Yaneuwareumong)
478,눈여아 (Nunyeoa)
479,로토무 (Rotomu)
480,유크시 (Yuxie)
481,엠라이트 (Emrite)
482,아그놈 (Agnome)
483,디아루가 (Dialga)
484,펄기아 (Palkia)
485,히드런 (Heatran)
486,레지기가스 (Regigigas)
487,기라티나 (Giratina)
488,크레세리아 (Cresselia)
489,피오네 (Phione)
490,마나피 (Manaphy)
491,다크라이 (Darkrai)
492,쉐이미 (Shaymin)
493,아르세우스 (Arceus)
494,비크티니 (Victini)
495,주리비얀 (Juribiyan)
496,샤비 (Syabi)
497,샤로다 (Syaroda)
498,뚜꾸리 (Ttukkuri)
499,챠오꿀 (Chaokkul)
500,염무왕 (Yeommuwang)
501,수댕이 (Sudaengi)
502,쌍검자비 (Ssangeomzabi)
503,대검귀 (Daegeomgwi)
504,보르쥐 (Borujwi)
505,보르그 (Borugu)
506,요테리 (Yorterrie)
507,하데리어 (Herderrie)
508,바랜드 (Baland)
509,쌔비냥 (Ssaebinyang)
510,레파르다스 (Lepardas)
511,야나프 (Yanappu)
512,야나키 (Yanakkie)
513,바오프 (Baoppu)
514,바오키 (Baokkie)
515,앗차프 (Atchappu)
516,앗차키 (Atchakkie)
517,몽나 (Mongna)
518,몽얌나 (Mongyamna)
519,콩둘기 (Kongdulgi)
520,유토브 (Yutobu)
521,켄호로우 (Kenhorrow)
522,줄뮤마 (Julmyuma)
523,제브라이카 (Zebraika)
524,단굴 (Dangul)
525,암트르 (Amtru)
526,기가이어스 (Gigaiath)
527,또르박쥐 (Ttorbakjwi)
528,맘박쥐 (Mambakjwi)
529,두더류 (Dudeoryu)
530,몰드류 (Moldryu)
531,다부니 (Dabunie)
532,으랏차 (Uratcha)
533,토쇠골 (Tosoegol)
534,노보청 (Nobocheong)
535,동챙이 (Dongchaengi)
536,두까비 (Dukkabi)
537,두빅굴 (Dubiggul)
538,던지미 (Deonjimi)
539,타격귀 (Tagyeokgwi)
540,두르보 (Durbo)
541,두르쿤 (Durcoon)
542,모아머 (Moameo)
543,마디네 (Madine)
544,휠구 (Hwilgu)
545,펜드라 (Pendror)
546,소미안 (Somian)
547,엘풍 (Elfuun)
548,치릴리 (Chirilri)
549,드레디어 (Dredear)
550,배쓰나이 (Bessnai)
551,깜눈크 (Kkamnunku)
552,악비르 (Akbir)
553,악비아르 (Akbiar)
554,달막화 (Dalmakhwa)
555,불비달마 (Bulbidalma)
556,마라카치 (Maracacchi)
557,돌살이 (Dolsari)
558,암팰리스 (Ampalace)
559,곤율랭 (Gonyulraeng)
